datetime,open,high,low,close,volume,adj_price
1991/3/27,114.375,114.625,112.5,112.875,6818800,18.78841
1991/3/28,114,114.375,112.875,113.875,6475200,18.954863
1991/4/1,113.875,114.25,111.875,112.25,5692000,18.684376
1991/4/2,112.5,113.5,111.125,113.25,9072400,18.85083
1991/4/3,113.375,114.25,113,113.125,7363600,18.830023
1991/4/4,113.625,114.75,112.125,113.5,7753200,18.892443
1991/4/5,114.125,114.5,112.5,112.625,6080400,18.746796
1991/4/8,112.375,113.5,112,113,3860400,18.809216
1991/4/9,112.75,113.375,111,111.25,5395600,18.517923
1991/4/10,111.375,111.625,110,111.25,7698800,18.517923
1991/4/11,111.125,111.875,110.125,110.625,8858800,18.41389
1991/4/12,111,111,108.125,108.5,14222000,18.060177
1991/4/15,108.25,108.375,105.625,106.875,12107200,17.78969
1991/4/16,107,109.25,106.75,109.25,8346800,18.185017
1991/4/17,109.625,110.75,109.25,109.875,8356000,18.28905
1991/4/18,110,110.75,109.375,109.75,5855200,18.268243
1991/4/19,109.25,110.25,109,109.5,8437200,18.22663
1991/4/22,108.75,109.375,108.125,108.5,6281600,18.060177
1991/4/23,109,109.125,107.875,108.375,3728400,18.03937
1991/4/24,108.375,108.875,108,108.25,5768400,18.018563
1991/4/25,108.375,109.125,107.625,108,4485600,17.97695
1991/4/26,108,108.25,107.25,107.375,4094000,17.872917
1991/4/29,107.75,107.875,104.625,104.875,7418000,17.456784
1991/4/30,105.5,105.5,102.125,103,13152800,17.144684
1991/5/1,102.5,104.5,102.125,104,7776800,17.311137
1991/5/2,103.75,106,103.75,105.875,6088400,17.623237
1991/5/3,105.5,106.5,102,103.625,12892400,17.248717
1991/5/6,102.375,103.625,102.375,103.375,4376000,17.410401
1991/5/7,103.375,103.5,101.875,101.875,5144400,17.157771
1991/5/8,102.125,104,101.75,103.75,5536000,17.473558
1991/5/9,104.25,105.875,104.125,105.875,6174000,17.83145
1991/5/10,105.875,106,103,103.375,5457600,17.410401
1991/5/13,103.625,106,103.25,105.875,5138400,17.83145
1991/5/14,105.5,106.25,104.625,106,7864800,17.852503
1991/5/15,105,105.125,101.25,102.75,10705600,17.305138
1991/5/16,103.75,104.25,103,104.125,5453200,17.536716
1991/5/17,103.625,104.625,103.5,103.75,8452400,17.473558
1991/5/20,104.125,104.25,103.125,103.25,3162800,17.389348
1991/5/21,103.625,104.25,100.5,101.5,6700800,17.094614
1991/5/22,102.25,104.625,102,104.625,8968400,17.620926
1991/5/23,104.5,104.625,103.75,104.625,5525200,17.620926
1991/5/24,104.625,105.125,104.5,105,3820400,17.684083
1991/5/28,105.25,105.375,103.625,105.125,5766800,17.705135
1991/5/29,104.625,104.625,103.75,104.125,6608800,17.536716
1991/5/30,103.625,105.125,103.625,104.375,5716400,17.578821
1991/5/31,104.375,106.5,103.75,106.125,7060000,17.873555
1991/6/3,106,107.375,105.75,106.375,5287200,17.91566
1991/6/4,105.625,106,104.625,105,4880400,17.684083
1991/6/5,105.375,105.5,103.125,103.25,5948800,17.389348
1991/6/6,103.125,103.625,102,103,5416800,17.347243
1991/6/7,102.875,103,101.375,102,7041600,17.178823
1991/6/10,102.375,102.75,102.125,102.375,3941200,17.241981
1991/6/11,102.75,103.5,102.125,102.25,4547600,17.220928
1991/6/12,101.875,102,100.625,101.5,7518800,17.094614
1991/6/13,101.375,101.375,100.125,100.625,7584400,16.947246
1991/6/14,101.375,101.625,99.875,100.375,9448000,16.905141
1991/6/17,99.625,100,99.5,99.5,652800,16.757774
1991/6/18,99.75,101,99.75,100.875,6945600,16.989351
1991/6/19,100.25,101.25,100,101,8331200,17.010404
1991/6/20,98.75,99.25,97.125,99.125,16344000,16.694616
1991/6/21,99.25,100,99.125,99.625,12577200,16.778826
1991/6/24,99.125,99.625,98.25,98.375,9382400,16.568302
1991/6/25,98.625,99.625,98.25,99.375,6861200,16.736721
1991/6/26,99.125,99.375,98.125,98.625,6804000,16.610407
1991/6/27,98.75,98.75,97.375,97.625,7252400,16.441987
1991/6/28,97.25,97.75,96.625,97.125,7086400,16.357777
1991/7/1,97.625,98.625,97.375,98.375,5378400,16.568302
1991/7/2,98.25,99.375,98.125,99.125,4838400,16.694616
1991/7/3,98.75,98.875,98.125,98.125,3868400,16.526197
1991/7/5,98.125,99.25,97.875,98.625,3140000,16.610407
1991/7/8,98,100.5,97.75,100.5,5562000,16.926194
1991/7/9,100.375,100.875,99.25,99.5,5046800,16.757774
1991/7/10,99.875,100.375,98.5,98.75,5210000,16.631459
1991/7/11,98.875,99,98,98.25,4749200,16.547249
1991/7/12,99,99.75,98.25,99.375,5621600,16.736721
1991/7/15,99.5,99.875,99.25,99.25,3411200,16.715669
1991/7/16,99.5,99.5,96,96.625,8803200,16.273567
1991/7/17,96.25,96.875,96.125,96.25,6188800,16.210409
1991/7/18,96.625,98.375,95.625,98.25,9436800,16.547249
1991/7/19,100,100.875,98.5,100.5,10291600,16.926194
1991/7/22,101,102.125,100.875,102,7309600,17.178823
1991/7/23,102.75,103,100.625,100.625,5252800,16.947246
1991/7/24,100.75,101.375,100,100.75,4326400,16.968299
1991/7/25,101.25,101.625,100.5,100.5,3378000,16.926194
1991/7/26,100.625,101,100.125,100.5,2560800,16.926194
1991/7/29,100.5,101.375,100.375,101.375,3324400,17.073561
1991/7/30,101.75,102,100.375,101.625,4320400,17.115666
1991/7/31,101.875,102.125,101.125,101.25,3488400,17.052509
1991/8/1,101,101.75,100.75,101.25,3612000,17.052509
1991/8/2,101.5,101.625,100.25,100.375,3568800,16.905141
1991/8/5,100.375,101.25,100.375,101,4984800,17.010404
1991/8/6,100.25,100.75,99.625,100.375,5603600,17.110123
1991/8/7,100.375,100.5,99,99,4641200,16.875738
1991/8/8,99.125,99.75,99,99.25,4236800,16.918353
1991/8/9,99.25,99.625,98.75,98.875,3362000,16.85443
1991/8/12,98.875,99.5,98.625,98.625,3134000,16.811814
1991/8/13,99,99.875,98.375,99,5090800,16.875738
1991/8/14,99.375,99.375,98.375,98.5,4486000,16.790507
1991/8/15,98.5,99,98.125,98.375,3213200,16.769199
1991/8/16,98.375,98.625,96.5,96.5,6723600,16.449583
1991/8/19,93.25,95.625,92,95,12080400,16.19389
1991/8/20,96.25,96.25,95.125,95.75,6522800,16.321736
1991/8/21,96.125,96.375,94,95.625,11312400,16.300429
1991/8/22,95.625,96.375,94.125,94.375,8662000,16.087351
1991/8/23,94.375,96.125,94.375,94.875,6816400,16.172582
1991/8/26,95.125,95.625,94.75,95.125,3581200,16.215198
1991/8/27,95.25,95.625,94.625,95.25,5034400,16.236505
1991/8/28,95.125,95.25,94.25,94.5,6466800,16.108659
1991/8/29,94.75,95.875,94,95.5,8977200,16.279121
1991/8/30,95.75,97.125,95.75,96.875,5368400,16.513506
1991/9/3,97.75,98.875,97.625,98,6633600,16.705276
1991/9/4,98.375,99.25,97.625,98.625,6405600,16.811814
1991/9/5,98.625,99.125,97.625,98.25,3978000,16.747891
1991/9/6,98.25,99.625,97.75,99.375,5224400,16.939661
1991/9/9,99.5,101.125,99.5,101,4731600,17.216662
1991/9/10,101.25,101.25,99.25,99.625,6790400,16.982276
1991/9/11,100,101.375,99.625,101.375,6351600,17.280585
1991/9/12,102.375,104,102.25,104,8956400,17.728048
1991/9/13,103.625,103.75,101.5,102.875,7562000,17.536278
